"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","12V","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal",""
"C1","1","470uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C2","1","0.01uF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C3","1","47uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C4","1","0.2uF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"D1,D3","2","LED","","","","LED_THT:LED_D5.0mm",""
"D2","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"Q1,Q2","2","IRLZ24","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.vishay.com/docs/91326/sihlz24.pdf"
"R1,R3,R6","3","1k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R2","1","22k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R4,R5","2","22R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"RV1","1","10k","","","","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal",""
"T1","1","Step Down 240V to 12-012V","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal",""
"U1","1","IR2153","","","","Package_DIP:DIP-8_W7.62mm","https://www.infineon.com/dgdl/ir2153.pdf?fileId=5546d462533600a4015355c8c5fc16af"
